Id;Categoria;Pergunta;Resposta
13;Infraestrutura;Quais os requisitos mínimos de infraestrutura (hardware) na empresa para viabilizar a utilização do sistema?;O Sienge é uma solução SAAS, 100% em nuvem que depende do acesso à internet para utilização. Softwares recomendados para acesso à plataforma são, navegador Chrome ou Firefox, visualizador de PDF Adobe Reader Acrobat 7.0 (ou superior) ou Foxit Reader 3.3.3.0.0430 (ou superior). Já os requisitos mínimos de hardware: Sistema operacional Windows, Linux ou Mac OS X. Processador 1.8 Ghz Pentium ou Celeron, ou processador de versão superior, HD recomendável 1GB livre para arquivos, Memória RAM 2G, Link para acesso externo (internet) 1Mb para download / 400 kbps upload. O link precisa ser dimensionado conforme o nº de usuários que utilizarão a plataforma em conjunto com outras atividades que utilizem do mesmo link de internet.
14;Produto;Qual é o tipo de Licenciamento para utilização do sistema?;SAAS.
15;Infraestrutura;A aplicação trabalha em contingencia de consulta a ambientes externos, como por exemplo a Sefaz?;No caso da SEFAZ para atender a Norma técnica NT 2014.002 em relação a recepção de NFE/CTEs que estabelece 20 consultas/hora via certificado digital A1. O Sienge estabeleceu um processo que realiza a manifestação e recepção automática das NFEs / CTEs seis vezes ao dia de forma intervalada (11hs, 13hs, 20hs, 22hs, 02hs e 04h) para evitar o bloqueio por uso indevido.
16;;;
17;Segurança da Informação;Como se dá o apagamento dos dados da empresa, em caso de término do contrato?;"Com o encerramento do contrato, os dados presentes no banco e nos anexos são disponibilizados em link específico enviado para o e-mail do representante legal da empresa. O formato do arquivo enviado é DMPC e fica disponível por 30 dias para que o cliente possa realizar seu download. Após expiração deste prazo os dados serão deletados. Para abrir e manipular estes dados, será necessário utilizar um gerenciador de Banco de Dados e também o ""PostgreSQL 15""."
18;Segurança da Informação;A empresa realiza testes de intrusão e vulnerabilidades ? Como se dá o tratamento das vulnerabilidades descobertas?;Sim, pentests são realizados por empresas externas especializadas. Vulnerabilides em infraestrutura ou sistema possuem suas correções priorizadas.
19;Segurança da Informação;Todas as operações realizadas no sistema e banco de dados são auditáveis? Estes registros são mantidos por quanto tempo? Quem tem acessos a estes registros?(logs);Todas as operações realizadas pelos usuários do sistema geram auditoria e são rastreáveis. O período de retenção pode ser configurável pelo próprio cliente. Sugerimos a retenção mínima de 12 meses.
20;Segurança da Informação;O sistema é aderente a senhas fortes? Tem opção de duplo fator de autenticação?;Sim. Sistema permite configuração de exigência de senhas fortes. Sistema se integra ao AD Microsoft, respeitando todas as configurações existentes de segurança.
21;Segurança da Informação;O sistema possui criptografia no fluxo de comunicação e para dados em repouso? Qual o tipo? (Simétrica, Assimétrica) Qual é o protocolo? (TLS, SSL, outros);Sim, possui criptografia para acesso ao sistema (SSL, TLS).
22;Segurança da Informação;O sistema, processos e a empresa atendem os requisitos de melhores práticas de mercado, tais como normas reconhecidas na área de Segurança (ex.:  ISO/IEC 27000) e atendimento as normas e leis vigentes no Brasil (ex.: LGPD)?;Sim. Toda a política de segurança foi desenhada considerando a família da ISO 27000.
23;Segurança da Informação;O sistema possui algum padrão de Federação utilizados para a concessão de acesso ao sistema? (Ex: SAML, SPML, WS-Federation, OAUTH, OpenId, etc.);Sim. Sienge possui Sistema de Federação SIenge ID, com fornecimento de provedor próprio de autenticação, bem como integração aos serviços de Active Directory da Microsoft e GoogleWorkspace. O padrão utilizado é OAUTH2.
24;Segurança da Informação;Possui controle de IP de origem para as Instancias e para o portal de administração (no caso de soluções IAAS e PAAS)?;Todas as tarefas de administração são realizadas somente a partir de VPNs, estabelecidas a partir de IPs conhecidos / específicos / próprios.
25;Outro;É aplicado alguma metodologia no processo de desenvolvimento de software?;Metodologias Ágeis. Cada time interno adota frameworks / processos indepentes, realizando entregas diárias de software
26;Outro;Aplica o conceito DevOps na entrega de software?;Sim. Equipe dedicada a deploy, equipe dedicada a ferramental de devops. Ex: Gitlab, Docker, Maven.
27;Outro;A solução possui componentes/recursos específicos para apresentação das informações aos usuários finais? ;Os relatórios do sistema são apresentandos ao usuário com a possibilidade de exportação em PDF, Excel. Alguns relatórios também são disponibilizados em formato (.csv). Possuimos também APIs que possibiliam a exportação dos dados para outras plataformas.
28;Outro;A empresa fornece o Modelo de Dados Lógico?;Não
29;Outro;As aplicações presentes na solução são multiplataforma?;Sistema 100% web, com homologação do navegadores Chrome/Firefox.
30;Outro;Dashboards e KPI´s. A solução possui componentes/recursos específicos para apresentação das informações para a gestão (sumarizada)?;Não há uma solução específica do Sienge para apresentação de Dashboards e KPIs, entretando temos disponíveis APIs Bulk Datas, que permitem a transação de alto volume de dados e a criação de paineis em outras soluções como Excel, PowerBI, HINC, seja para a área financeira, comercial, contábil ou gestão de obra, por exemplo.
31;Outro;Disponibilização do diagrama/descrição da Arquitetura Técnica da Aplicação (modelo de camadas);Por questões de segurança, os detalhes da implementação não são fornecidos.
32;Outro;Fornece o diagrama/descrição da Arquitetura de Banco de Dados e modelo descritivo?;Desenho de arquitetura fornecido na respectiva Aba.
33;Outro;Quais são as tecnologias utilizadas (linguagem de programação e framework) para o desenvolvimento da aplicação? Quais são as versões utilizadas?;Majoritariamente Java e Javascript React.
34;Outro;Utiliza algum algum middleware orientado a mensagens na arquitetura da solução?;Kafka para funções específicas.
35;Outro;Disponibiliza componente de Workflow de Aprovações;Sim, existem algumas funcionalidades em que é possível configurar um workflow de aprovações na própria solução voltado aos processos de Compras, Contratos e Medições, Pagamento, Vendas. Para as aprovações de solicitações e pedidos de compras é disponibilidado app mobile específico Sienge. Já no ambiente de plataforma temos integração via APIs com a solução Zepp Aprovações (plataforma e app) para os processos de Suprimentos e Financeiro e o Construtor de Vendas (plataforma) para o fluxo de Vendas.
36;Outro;"
Segregação de informações entre as unidades de negócio.";Cada cliente possui um FQDN (contexto) e banco de dados dedicado. O cliente pode estar alocado em equipamento exclusivo (servidor de aplicação + instância de banco dedicada), ou servidor compartilhado, a depender da contratação realizada.
37;Outro;"Alta Disponibilidade
Detalhar como a solução garante a alta disponibilidade em todas as camadas da arquitetura:
**Balanceador de Carga
**Servidor WEB
**Servidor de Aplicação
**Servidor de Banco de Dados";"Solução SAAS, com infraestrutura da IBM em Dallas (hospedagem dos servidores físicos-hosts e serviços). Infraestrutura com garantia de redundância, rede elétrica, nobreaks, geradores, redes LAN, WANS, VMs (virtualizadores), hardwares são clusterizados para garantir a disponibilidade da plataforma, falhas não são percebidas pelo cliente, apenas informadas para nosso time interno que faz todo o monitoramento.
Existem estruturas clusterizadas responsáveis por manter o ambiente SAAS Sienge, como por exemplo, estruturas próprias para aplicações Java, Bancos de Dados (PostgreSQL), serviço de DNS, Segurança de acesso, Backup, Monitoramento (24x7), Automatização para atualizações, Performance, Segurança da infraestrutura, Suporte, Plataforma e Microserviços."
38;Outro;"Escalabilidade
Detalhar como é garantida a escalabilidade da aplicação em todas as camadas da arquitetura: 
**Balanceador de Carga
**Servidor WEB
**Servidor de Aplicação
**Servidor de Banco de Dados";Desenho de arquitetura fornecido na respectiva Aba.
39;Outro;"Como os dados do Grupo Petrópolis serão separados dos dados de outros clientes?
";Cada cliente possui base de dados relacional individualizada.
40;Outro;Sistema em Nuvem?;Sim, aplicação e Banco de Dados 100% na nuvem, por meio do IBM Cloud associado a um conjunto de serviços e tecnologias do Sienge.
41;Outro;É imune a falhas?;Sim
42;Outro;Personalização e customização do sistema ou componente de acordo com o contexto ou com o perfil de usuário.;"Atualmente somente a equipe Softplan é capacitada a fazer as customizações, correções e evoluções no Produto. As únicas implementações que podem ser feitas pelo cliente são a partir de nossas APIs, que estão completamente documentadas em https://api.sienge.com.br/docs

O sistema possui vários parâmetros pré-definidos que podem ser ajustados/configurados para melhor atender determinado processo do cliente. E em caso de necessidade de customização ou antecipações de roamap é possivel solicitar via chamado de evolutiva passível de cobrança, a depender do esforço relacionado ao desenvolvimento da funcionalidade solicitada."
43;Outro;Em caso de descontinuidade da solução, inclusive por motivo de substituição por outro produto, temos garantia de direito aos dados e códigos fontes da solução (fiel depositário)?;A solução Sienge está presente há mais de 32 anos no mercado e está em constante evolução como plataforma, somos pioneiros nesse segmento da construção civil. A possibilidade de descontinuidade do produto é baixissíma. Em caso de encerramento do contrato, o cliente pode receber uma cópia de seus dados.
44;Outro;Mão de obra, pessoas capazes de parametrizar ou customizar o sistema?;O Sienge possui uma rede com 22 canais autorizados distribuidos pelo Brasil., responsáveis pela venda e implantação da nossa solução.
45;Outro;É rápido e“enxuto”?;Equipe dedicada de DBAs realiza monitoramento constante do sistema, realizando aperfeiçoamento de consultas, quando necessário.
46;Outro;O fornecedor de software apresenta roadmap  de melhorias e adequações na ferramenta?;"Roadmap com visão anual de grandes temas e desdobramento/entregas trimestrais. A organização do nosso backlog segue um processo constante e fluido, contemplando as sugestões de clientes internos e externos. 
É disponibilizado uma apresentação (vídeo gravado) das melhorias para o próximo ciclo para os clientes."
47;Outro;Permite que as áreas de negócio realizem configurações sem a dependência da área de TI?;O recomendado é que a área de TI centralize as configurações/parametrizações do sistema, entretanto é possível habilitar acessos para usuários de outras áreas para realizarem determinadas configurações.
48;Outro;Oferece serviços de operação assistida?;A rede de canais oferece serviços de consultoria, treinamento e implantação para uso do sistema. Em que o usuário é acompanhado por consultor especializado.
49;Outro;O fornecedor possui representação no território brasileiro?;O Sienge possui uma rede com 22 canais autorizados distribuidos pelo Brasil, responsáveis pela venda e implantação da nossa solução.
50;Outro;Possibilidade de implementação de partes das funcionalidades, modularização durante o go-live, visando redução de riscos ao ambiente de TI?;Sim, o sistema é modular. A implantação pode ser realizada por módulos respeitando alguns pré-requisitos técnicos para o correto funcionamento da plataforma.
51;Outro;É fácil entender o conceito e a aplicação?;Sim, existe um menu bem estruturado com todas as funcionalidades, possuimos também a página de ajuda Sienge com artigos e vídeos respondendo as principais dúvidas dos usuários, além do ambiente de aprendizagem virtual.
52;Outro;Capacidade do sistema de suportar diferentes línguas (Português, Inglês, Espanhol, etc.) sem a necessidade de recodificação.;Não, apenas português.
53;Outro;Interage com os sistemas especificados?;"Integramos com outras aplicações por meio de 02 meios: APIs e Conectores. Através das APIs, as empresas podem desenvolver soluções ou integrar com aquelas que melhor lhe atenderem. Temos tanto APIs Bulk Data, quanto Restfull.
Já os Conectores são soluções “Plug and Play” com parceiros específicos e homologados pelo Sienge Plataforma. 
Os conectores se destinam a aplicações que demandam mais controle e segurança, como é o caso de transações financeiras, por exemplo."
54;Outro;Monitoramento das integrações;O Sienge possui um painel para monitoramento e acompanhamento das APIs e conectores com análise de consumo das requisições, histórico de execuções, relatório analítico, etc.
55;Outro;O que o fornecedor agrega em termos de conhecimento de melhores práticas de negócios e processos, não somente know-how técnico da ferramenta?;"O Sienge é o maior ecossistema tecnológico da indústria da construção.

Está no mercado há 32 anos em contínua evolução e é o software de gestão usado por mais de 5 mil empresas da construção, incluindo algumas das maiores construtoras do Brasil.

Através de uma plataforma altamente tecnológica e especializada na cadeia da construção. Atualmente, são mais de 10 mil obras em andamento gerenciadas pelo Sienge. Acreditamos que compartilhar conhecimento é fundamental para fortalecer o setor, trabalhamos com dedicação para potencializar as conexões entre pessoas e empresas da indústria da construção, e nos orgulhamos em promover transformações fundamentais na vida de milhões de pessoas anualmente.

Somos especialistas na indústria da construção. Conhecemos muito bem seus principais desafios. Nossas soluções são desenvolvidas para melhor atender a cada um deles, dentro das jornadas ACE, Financeira, Vendas e Pós-Vendas, Compliance."
56;Outro;"Já existe suporte interno da ferramenta?
No quadro da TI temos colaboradores que conhecem o novo produto?";"Sim, a rede de canais oferece serviços de consultoria, treinamento e implantação para uso do sistema, em que o usuário é acompanhado por consultor especializado. A carga horária irá depender do escopo de sistemas utilizados/contratados. 
O serviço de treinamento/implantação junto ao consultor é realizado mediante investimento adicional à licença de uso.
Para complementar a capacitação dos usuários, o Sienge oferece página de ajuda e ambiente virtural de aprendizagem de forma gratuita."
57;Outro;Capacidade de adequação das questões fiscais, leis e regras brasileiras independente de demanda pelos clientes.;Sim, nosso time de Produto está atento as mudanças relacionadas a legislação e questões fiscais que podem impactar as regras de negócio do sistema, para que estejam atualizadas e não comprometam as entregas do cliente.
58;Outro;É fácil de modificar (Customizações para os clientes)?;"Atualmente somente a equipe Softplan é capacitada a fazer as customizações, correções e evoluções no Produto. As únicas implementações que podem ser feitas pelo cliente são a partir de nossas APIs, que estão completamente documentadas em https://api.sienge.com.br/docs
Em caso de necessidade de customização ou antecipações de roamap é possivel solicitar via chamado de evolutiva passível de cobrança, a depender do esforço relacionado ao desenvolvimento da funcionalidade solicitada."
59;Outro;Com que frequência apresenta falhas?;O Sienge está presente há mais de 32 anos no mercado nacional.
60;Outro;É fácil modificar e adaptar linguagem de programação;Separação de camadas permite a adaptação. Por exemplo, telas antes construídas em Java passaram a ser construídas em React.
61;Outro;"Monitoramento da Aplicação (Performance)
Fornece relatórios com informações de acompanhamento do desempenho da
solução?";Equipe dedicada de DBAs realiza monitoramento constante do sistema, realizando aperfeiçoamento de consultas, quando necessário. As informações são internas.
62;Outro;"Monitoramento da Aplicação (User Experience)
Fornece relatórios com informações de acompanhamento do desempenho da
solução?
Estas informações podem ser fornecidas aos clientes através da integração com ferramentas de mercado, tais como: Google Analytics";Sienge está integrado ao Mixpainel, onde é realizado o acompanhamento de acessos, nível de utilização da ferramenta pelos usuários, telas mais acessadas, etc. As informações são de uso exclusivo do time de Produto.
63;Outro;É capaz de recuperar dados em caso de falha?;Sim, por meio de backups que disponibilizamos em D-1. Porém caso seja necessário uma frequência menor, analisamos a possibilidade caso a caso.
64;Outro;Um sistema robusto é aquele que, além de produzir resultados corretos quando entradas válidas lhe são fornecidas, não produz resultados inválidos quando dados inválidos lhe são alimentados. ;Em vários cenários o Sienge valida os dados de entrada informados pelo usuário e emite alertas/notificações na tela caso o dado informado esteja em desacordo com alguma regra, relação/correlação ou parametrização pré-estabelecida.
65;Outro;Analisando os softwares existentes na companhia, o fornecedor é compatível no suporte?;"Sim, o Suporte possui atendimento em 3 níveis (N1 - dúvidas e orientações, N2 - erros e corretivas, N3 - evolutivas). O atendimento pode ser realizado via telefone, portal de atendimento ao cliente (web) e chat dentro da próprio sistema.
Sistema utilizado chama-se Freshdesk. URL de acesso: https://ajuda.sienge.com.br/support/home. Maiores detalhes e SLA informado na guia ""Suporte""."
66;Outro;Disponibiliza antecipadamente um cronograma com as manutenções programadas ou atualizações da solução?;As manutenções são agendadas e realizadas diariamente fora do horário comercial, respeitando as janelas de manutenção das 18h-06h. Essas manutenções podem gerar pequenas indisponibilidades no sistema (backups, atualizações de versão etc). 
67;Outro;"Fornece manuais completos do software, em meio eletrônico, contendo informações
detalhadas sobre instalação, configuração, operação e administração da solução? Em quais idiomas?";Não é disponibilizado manual do sistema, uma vez que não há necessidade de instalação da nossa plataforma. Entretando possuimos artigos e documentos complementares em nossa página de ajuda em caso de dúvidas.
68;Outro;"Fornece relatórios com informações gerenciais e de acompanhamento do atendimento
dos Níveis de Serviço contratados? Quais são os dados, informações e intervalo de tempo em que são apresentados esses relatórios.";No portal de atendimento ao cliente é possível acompanhar os tíckets abertos no Suporte e extrair relatório com as informações desejadas.
69;Outro;O serviço de atualização de versões/releases está incluído no contrato de suporte técnico?;Sim. 
70;Outro;Utilização do sistema em empresas de porte, mesmo segmento e/ou globais;As nossas soluções atendem grandes construtoras e incorporadoras pelo Brasil, de acordo com o último Ranking Intec 61 das 100 maiores construtoras do país utilizam alguma das nossas soluções (Sienge, CVCRM, Prevision, 1Doc...) Possui alguns cases de sucesso que podem ser conferidos na página:  https://www.sienge.com.br/cases-de-sucesso/
71;Outro;Qual é o tempo de resposta, a velocidade de execução?;"Equipe dedicada de DBAs realiza monitoramento constante do sistema, realizando aperfeiçoamento de consultas, quando necessário. As informações são internas.
Não existem objetivos alvo para tempo de resposta."
72;Outro;É fácil testar quando faz alterações?;Todas as atualizações de produto no ambiente DC são realizadas pelo Sienge e mensalmente é divulgado um Release Notes detalhando as alterações realizadas com data de liberação e nº da versão.
73;Outro;Ocorrendo falhas, como ele reage?;Identificadoo erro pelo usuário ou time interno, é aberto um tícket via Suporte que será avaliado pelo analista N2, após validações e constatação do erro, o tícket segue para correção pelo time de produto, respeitando o SLA conforme gravidade. A corretiva é liberada de forma automática para o cliente com a atualização da versão.
74;Outro;A empresa oferece serviços de treinamento para usuários da solução?;"Sim, a rede de canais oficiais Sienge oferece serviços de consultoria, treinamento e implantação para uso do sistema, em que o usuário é acompanhado por consultor especializado. Modalidades de treinamento presencial e remoto.
O serviço de treinamento/implantação junto ao consultor é realizado mediante investimento adicional à licença de uso.
Para complementar a capacitação dos usuários, o Sienge oferece página de ajuda e ambiente virtural de aprendizagem de forma gratuita."
75;Outro;É fácil de usar? Quais são as tecnologias utilizadas na interface com o usuário? Qual é o front end de acesso a ferramenta? No caso de web, quais são os navegadores suportados? Aplicação possui scripts client-side?;Majoritariamente Java e Javascript React. Navegadores homologados Google Chrome e Firefox. Não possui script client-side.
